genes	const_pval	sex	age	bmi	p_value	beta_coef	std_err	fdr_bh_adj_pval
ENTPD6	5.6702021628090404e-21	0.7193202502018414	0.6529875118035657	0.6635740884449337	0.0004155910029068206	-0.1818275994426628	0.04969178221071017	0.6178132368931714
SLC9C2	7.505126646524238e-21	0.8071628712417696	0.8373771006147626	0.42559215622175717	0.0004876928483980513	-0.20537324335965595	0.05685726919001304	0.6178132368931714
CATSPERB	6.170867259750353e-21	0.9064824795064246	0.8204830383468189	0.38611637883129235	0.0005225063705583115	-0.18695995615359395	0.052053399654908405	0.6178132368931714
MKNK1	7.085096254675871e-21	0.9400152860848408	0.9754978842427011	0.9407754741334842	0.000524743159488774	-0.09019931018958693	0.025122148424520478	0.6178132368931714
ATG14	5.012431465995729e-21	0.9557845709073188	0.7979721683149126	0.43198913778389236	0.0005256586966386993	-0.09520587730306815	0.02652038388671401	0.6178132368931714
CDH22	2.0095604451158624e-20	0.736230431413444	0.5375697602748093	0.37944017543558817	0.0005880898208300492	-0.1572310318533895	0.04420879124372665	0.6203926166972052
ZC3HC1	1.5544199280172557e-17	0.6675383229750379	0.9897499608083866	0.35224140600635345	0.0006259198108048014	0.09889483217572119	0.0279526776716614	0.6203926166972052
RFK	7.947400656005377e-16	0.89347292980707	0.6732543682244622	0.8649246191037007	0.0006576773919695272	0.048182755820512846	0.013676192770807113	0.6203926166972052
FGFR1	2.496932402169513e-20	0.8767572845915843	0.5043269562556756	0.27917244590972196	0.000684351315874602	-0.19690330972519793	0.056079072925603615	0.6203926166972052
PDE4A	6.536143571438982e-12	0.8185130567457906	0.8439405489205964	0.3830742549429801	0.0007201523785664546	0.278132089161953	0.07956130765494904	0.6203926166972052
ATP6V1FNB	1.0010213250293082e-20	0.7254555075724456	0.5322351104920666	0.3330515188522917	0.0007460868154946037	-0.054122672591823406	0.015529538446019056	0.6203926166972052
BLZF1	3.532389402057235e-17	0.6858849458191303	0.9966765243309855	0.3801813990519095	0.0007904987852549769	0.07395748240674238	0.021327858461721104	0.6203926166972052
GATA1	8.192491936008619e-21	0.7316894759626598	0.43155674699221747	0.20444216520924635	0.0007917799947212404	-0.08185262188992451	0.023608000635195657	0.6203926166972052
AKAP7	4.2643182957560325e-20	0.9406394155954503	0.850559510233627	0.4896197785157258	0.0008375098346397877	-0.1955204625070881	0.056670818245611904	0.6299748976160483
KLHL31	2.5408353655314872e-14	0.9634422167659794	0.7302707312615617	0.5190852533243159	0.0008772932439024491	0.06970052205615568	0.02028550684636552	0.6345192096763675
ATP2B1	6.615672331569998e-20	0.7918251874673292	0.9419145103383872	0.2045063108410986	0.0009743387116117167	-0.14125606739762636	0.04149847515860653	0.6498193648512584
ANKRD17	5.7952490741387e-20	0.3744097263236067	0.3727459915627864	0.4704610988661252	0.0009996651613613057	-0.23181945403108722	0.06826237090452289	0.6498193648512584
PRKCZ	2.5266790962616055e-20	0.9752987379809143	0.8704619977113566	0.2945608603061204	0.0010451711108528977	-0.3397003271882586	0.10043443118314084	0.6498193648512584
CLEC18B	1.3089189660946483e-20	0.45067413576129833	0.899637349236454	0.24421214434769595	0.0010586387475540447	-0.12028132525086054	0.035603431847869765	0.6498193648512584
MAPK15	2.6714595100422692e-20	0.779073549127753	0.9490034167628614	0.2118904898298824	0.0010857882296330015	-0.1597958014161418	0.04740942269699171	0.6498193648512584
TRPM7	3.173737469649137e-11	0.9784080240207373	0.7272386958708461	0.39649224414887385	0.001105781423836228	0.18900408157487242	0.05616910581411155	0.6498193648512584
PRR5	1.3814454683746547e-11	0.7373385320986332	0.7014590262144935	0.903551125801644	0.001181292318005863	0.22002398697881864	0.06578781569007494	0.6610861893995764
GKN2	2.176291366656726e-17	0.9422424912801897	0.7228817368893905	0.34496319022515043	0.0012310978532611204	0.088454374772125	0.026550008820741853	0.6610861893995764
ANKRA2	7.75807473745536e-16	0.9908066171393535	0.602128834921457	0.3430218205436726	0.0012798342918647707	0.06991327347782353	0.021061277087052712	0.6610861893995764
ARHGEF3	2.3072961860912797e-20	0.5697308081580227	0.7408061742031127	0.7192483128760714	0.0013084654009475679	-0.17775316421146015	0.05365953603230526	0.6610861893995764
ARF6	1.5250343026971532e-18	0.8834435569694155	0.9371203334119731	0.3255491602557783	0.0013112712870883487	0.04203601382338193	0.0126922565322724	0.6610861893995764
STAB1	9.25119116632308e-19	0.7257528589375448	0.5016613478772802	0.5406536215360582	0.0013358827544367937	-0.2644460644614275	0.07998661841663683	0.6610861893995764
RFPL4B	1.3237937528666312e-20	0.8782133697444585	0.9824969380502983	0.2779645968003665	0.001492161491731159	-0.06372797163020183	0.019480317940008453	0.7194896628719089
SLC35G5	4.4294187255667214e-17	0.7961369116756021	0.7840933417237195	0.4141892924958821	0.0015561289672010414	0.10685822699603109	0.03279707453287482	0.7315751307053895
FAM71F1	1.6313788901771193e-14	0.9109046554685666	0.8627632873068833	0.8425865891948798	0.0016253805826936531	0.12418003739179198	0.03827528746426873	0.7454946794525402
FCHSD1	1.036717450044842e-19	0.9686820487958706	0.27601171751166925	0.22915696414604667	0.0017096888934279178	-0.12340391531533935	0.038225091720885264	0.7654928485931428
IL12RB1	1.5378904712119017e-20	0.44221106089948703	0.6600059309066295	0.6107345538642126	0.001793579972508113	-0.22666914472943528	0.07054527380752647	0.7668327753970428
H3C1	4.429217302012442e-16	0.8338702806805656	0.5324608956486354	0.39854619016029813	0.0018171640743993279	0.055629670235081405	0.017335864595021528	0.7668327753970428
FAM157A	9.589406516622832e-16	0.8461167054583946	0.7107921935808266	0.3575550373699383	0.0019304060742916414	0.40342187398123786	0.12648009256609366	0.7668327753970428
HMGN4	3.7764441773693014e-19	0.9337281185711662	0.8919132518957593	0.40401490208897417	0.001944172458184437	0.020179711756149066	0.00633122638583228	0.7668327753970428
GAGE12D	2.8643422954138504e-16	0.6854848448878358	0.9536831281723005	0.6876431265211385	0.0020113084896874484	0.19913250497603163	0.06269052694246206	0.7668327753970428
TAGLN2	1.7077242842043953e-20	0.8962184898779185	0.8985542108854698	0.4310943733366006	0.002022680314446286	-0.05969860337560745	0.01880492865689498	0.7668327753970428
ESRRA	2.5158695555890027e-15	0.8591253939509194	0.690126564343839	0.6388623334834764	0.0021722693989009224	0.08360615024311202	0.02652782608630099	0.7668327753970428
CHRNA2	1.2752106301467541e-15	0.4310102861730649	0.9185957106630297	0.7054085812440174	0.0021850743042523863	0.12302745149523792	0.03905954235928292	0.7668327753970428
NCKAP1L	9.725493628939087e-20	0.8602770701060785	0.5033495811533173	0.19925067887667247	0.002259015306345304	-0.15141488162710476	0.04823701325651576	0.7668327753970428
EREG	3.368977816594536e-17	0.9702810237391005	0.7000965553700255	0.25276983067421754	0.002282805982577553	0.11226284161505044	0.0358028558847498	0.7668327753970428
LEUTX	2.3002143043641777e-20	0.6299544424925319	0.8170219746768327	0.1811433362311487	0.002305226248912851	-0.11733015665201096	0.03745677032555973	0.7668327753970428
ATP11C	4.1237578365208044e-13	0.9906743899992347	0.5285324554156581	0.6682119501422519	0.0024074383636268587	0.1408804574732147	0.04517824311938328	0.7668327753970428
UTP11	4.3753209398704856e-20	0.8261246564066436	0.5865434464533934	0.1093466646604035	0.0024602972654962033	-0.05881331878278706	0.018903403551896684	0.7668327753970428
MNS1	4.904665703568926e-18	0.7874413133521906	0.6060616589589097	0.3558715453484709	0.0025367798648785796	0.08120053965676141	0.02618297786726216	0.7668327753970428
HIRIP3	2.569464084380568e-20	0.6144559825582608	0.7782309996327565	0.5955824276531547	0.002581384486522963	-0.1006221607632207	0.0325051265971469	0.7668327753970428
RNF4	5.3678371534651535e-17	0.7105130045312398	0.5352823021841948	0.4051175208687756	0.002632067613014004	0.09107619352644009	0.029481955896834392	0.7668327753970428
ZNF518A	3.792885002978988e-19	0.853080583050292	0.8280396408903402	0.35297029206866115	0.0026422858846560926	-0.14111602310078852	0.04569893842645932	0.7668327753970428
UQCRC1	4.937321985339036e-15	0.7538401750994254	0.8081720444737521	0.5176808894119737	0.0026943908127292043	0.07851806638179418	0.025480043098729244	0.7668327753970428
EIF2B3	7.65227988148671e-20	0.9939674008569195	0.9838749747840286	0.3003942110616838	0.002727602590446744	-0.08149960112111038	0.026482120654461136	0.7668327753970428
ISY1-RAB43	1.87222980898057e-15	0.6959290993845717	0.6945077493497918	0.666446096722787	0.002774141372418349	0.1711071974687523	0.05569936143374915	0.7668327753970428
ZNF529	2.9032958209061814e-20	0.734870743461963	0.9268661856348692	0.351726848488349	0.002807514317079716	-0.06931933623957556	0.02259396166471735	0.7668327753970428
MYC	6.451953272146508e-17	0.8716255675502307	0.9689960626509346	0.4995235094546763	0.0028279532667177887	0.07226062458167254	0.023570976823419045	0.7668327753970428
EHHADH	8.666472511235014e-20	0.7370663957733403	0.8504905926413722	0.6367727200493232	0.0028712893461038903	-0.08172974869756437	0.026703356392670276	0.7668327753970428
OR13C4	3.9070230933171115e-20	0.8038716994631581	0.8896532295790393	0.33162390532170627	0.0028788223250331745	-0.04118577872376513	0.013460322291458644	0.7668327753970428
OR52N5	2.4593885414955267e-20	0.8407829956795939	0.7146888806469912	0.6266912118215819	0.0029211015916561205	-0.040788611419201426	0.013351490060176267	0.7668327753970428
BCL11A	5.0574732844603315e-12	0.7402244210382194	0.8136720832287823	0.21888706043078734	0.002921203216531647	0.12406429504850575	0.04061058627728095	0.7668327753970428
ERICH5	5.968746784454439e-18	0.79262654437133	0.5306628578692046	0.44491703830660634	0.0029547542334643485	0.0837777293391804	0.02745724724090498	0.7668327753970428
FAM227A	2.854925290672498e-20	0.6204863081365963	0.5698672918817531	0.4315685110506864	0.00297314818842768	-0.14564237891979404	0.047764792619630965	0.7668327753970428
ZNF300	2.990265392440635e-20	0.6255740343158394	0.7079872155092148	0.2033027243050313	0.0030040930205424247	-0.07995649593917799	0.026251936589560307	0.7668327753970428
C14orf177	6.4690847151634585e-18	0.8557527214371757	0.6077282510368314	0.42459931772512494	0.003064545827250163	0.05349971651214888	0.017603524562806856	0.7668327753970428
MPPED2	5.2727466151463004e-20	0.7736419046563486	0.7588610117408683	0.42018807697858584	0.0030930395046603397	-0.14474003955893114	0.047673265979979076	0.7668327753970428
CFAP99	1.47440312486868e-15	0.7218879154115457	0.8056701224914516	0.389198705406392	0.0030991078901526524	0.13708170033323047	0.045160482327089586	0.7668327753970428
SERPINC1	2.5686334341260516e-15	0.6109138019455614	0.8936078474240865	0.6754279647602861	0.003124932104307777	0.1082673770440555	0.035700168374543255	0.7668327753970428
HTD2	1.6482784723486568e-17	0.9460959618504268	0.5987477226790805	0.2913507680889607	0.0031674115746473854	0.06325153790860136	0.020887448079118354	0.7668327753970428
PARP4	5.455324319146908e-20	0.9032645884296563	0.551987377143142	0.518315893386183	0.0031903196139058407	-0.17692150021706254	0.05847066299545918	0.7668327753970428
PKD1L1	1.360211448029338e-19	0.894805847191601	0.7743633120621631	0.262463531553021	0.003192189182745819	-0.30069032546343677	0.09938132283914143	0.7668327753970428
LIMS2	7.207564193553816e-16	0.7387071003131338	0.9065616012683332	0.23082393502311907	0.003259185738869607	0.1310331757207711	0.043406839608371876	0.7668327753970428
RHOA	3.224759090854225e-17	0.9126623232051398	0.6305828141880097	0.4274528452646591	0.003262250573345569	0.13984856212877728	0.04633187408579732	0.7668327753970428
UBE2I	3.0654342882196045e-18	0.8807987189452755	0.9001566612979909	0.8385104510770269	0.0034055467073840456	0.363083237574061	0.12086284683685057	0.7906334053377405
RNF175	2.4633347736268117e-15	0.916171811450555	0.6596313339580326	0.5222111503993667	0.0034738051575649025	0.07754795386071449	0.025871149416155325	0.796193607995978
AK9	8.01714358940858e-11	0.9823819956333288	0.49765691464490425	0.49826604453277223	0.0035207672771676982	0.15434453259798198	0.051568845098740684	0.796193607995978
CYP4A22	1.118259346385424e-19	0.8969373215862246	0.9631936655183522	0.25172013300781804	0.0035730623445263707	0.16448391095528386	0.055047298040944756	0.796193607995978
CDRT4	4.034349232260709e-17	0.9748068891402721	0.41060972090346504	0.3759155090433135	0.0036949289806311285	0.05137283095410694	0.01725770979025246	0.796193607995978
RAE1	3.0477222488790703e-20	0.9365693337184469	0.8771074776429819	0.44925925336357075	0.0037372106549993884	-0.16714827786163866	0.05622239283364377	0.796193607995978
TRIM29	1.1900467801093163e-14	0.6466707796337108	0.623451668808038	0.13734944087957948	0.0037502985455660515	0.13622609652230105	0.04583944414739023	0.796193607995978
TMED7-TICAM2	5.092009116227742e-20	0.9903419906346833	0.37424929227549053	0.40117776372732517	0.0037596789986394795	-0.06517585059224176	0.021937565902771534	0.796193607995978
CRYAA	3.151485729040855e-19	0.9896970362429776	0.6385878387115284	0.5693134001117806	0.003768212236726511	-0.038705828513559776	0.013031352782807655	0.796193607995978
SFTA2	3.0883039308396054e-19	0.8080814606142003	0.9593767670458959	0.43450832729056477	0.0038136553891772386	0.07393334783462718	0.024925470112165286	0.7968421065941996
SLC12A5	2.607720700007334e-12	0.832669145046715	0.8852255689583421	0.46856657901051035	0.003918768574875218	0.17257372951716504	0.05836070728406641	0.8063829677819849
ZNF560	4.5154675623152796e-17	0.37794805019411715	0.7720846979857117	0.45068533001068944	0.00394508019334978	0.19525077355870257	0.06608002589663502	0.8063829677819849
C16orf95	6.481108056485369e-16	0.8968350855614758	0.8704503774644244	0.7289720855871822	0.00399381152977987	0.08520269427218233	0.02887620995847385	0.8075658690054888
PSKH2	3.3980127522064826e-20	0.9189951409338915	0.8907800935347869	0.6231452329727851	0.0040757548173087806	-0.06569018863317483	0.022315094192500606	0.81144535769365
CIB4	4.1391159474852347e-20	0.9199197628065416	0.9441625513953584	0.3690209478364733	0.004099298536607112	-0.08866460408716274	0.030139499525456963	0.81144535769365
PGAP6	4.931163578675937e-14	0.9331881329520647	0.6454400862831388	0.5326979195863568	0.004195794974167465	0.16217302963645763	0.05527505314166991	0.816042848388625
TMEM168	6.703279270504463e-20	0.8957409875389839	0.6222697040028708	0.3854558319695648	0.004237876003967624	-0.07033645652719424	0.024001159336072095	0.816042848388625
DEFB105B	6.145801508218334e-18	0.976327786974049	0.34253506552432555	0.27185457609160446	0.0042916848589201985	0.0482877142470861	0.016501501108652214	0.816042848388625
ADCY10	6.9931789539721555e-19	0.8118706281014225	0.8937250867069609	0.36706613891449913	0.004297927605311048	-0.16611516433707826	0.056776595620101594	0.816042848388625
RBM18	4.2081168264364525e-20	0.8251575425926809	0.2736808108004864	0.4890249311183057	0.0043606960174962855	-0.09920305385547874	0.033963858560133425	0.816042848388625
SERPINF1	4.0588397159845117e-20	0.812630353930059	0.5756633108926626	0.35712750530567217	0.004382894319981448	-0.11988731328956609	0.04106974680574519	0.816042848388625
SIDT2	2.2423228592113835e-17	0.719424750398695	0.6030109207182471	0.28308798458328277	0.004611350828880495	0.14703804654976158	0.05067136641259318	0.8414374843436566
PDP1	1.6897640769234393e-16	0.9861811226636743	0.926931717417075	0.4345382490331219	0.0046867685522808625	0.07655856213663459	0.026433650910686023	0.8414374843436566
N4BP1	3.832767279207163e-14	0.8174893573622029	0.5892803622187069	0.3698273860612893	0.004689596216301042	0.10019967723046944	0.034598767909587484	0.8414374843436566
POLR3H	6.419456284867895e-20	0.889330232346391	0.5405704810726848	0.6468535963234847	0.004698268325237115	-0.09974689843097706	0.034449940288463564	0.8414374843436566
SOD1	1.8739826463979967e-17	0.8432586972655225	0.7538393252740224	0.3208404588883564	0.004787017245401899	0.11624481846148399	0.040236897602531435	0.8450256346663509
BTG4	1.0996914909157375e-16	0.9913701619766597	0.853270379916585	0.813152128430627	0.004853308560838325	0.1034323393276177	0.03586050374160932	0.8450256346663509
TRPV3	3.869067553977448e-15	0.7260104674681788	0.8137853663213678	0.25862253359322007	0.004877817468173225	0.15711860101678501	0.05450644596880646	0.8450256346663509
SERPINA10	5.294755126416668e-14	0.8980086239072713	0.6710763188175723	0.9947900267581689	0.004967377346712708	0.09064574207369562	0.031514452577502086	0.8450256346663509
TUBGCP5	1.244240204533722e-19	0.9698592653904707	0.9435643831106382	0.6363240432464234	0.005046009605421	-0.14454286371680336	0.05034716660068926	0.8450256346663509
METTL1	3.991879044174278e-20	0.9994424736962012	0.42481347771147626	0.37584066493710855	0.0051504796866073815	-0.059409621335641066	0.020744537660964454	0.8450256346663509
BMPR2	5.937277514268001e-20	0.9929212383985253	0.6145765530729108	0.576316071543618	0.005186438984218187	-0.09097924320704728	0.03179458151882043	0.8450256346663509
IQCG	4.035612835487709e-20	0.794882383436351	0.7478674494777012	0.8427328204746829	0.0052167917340536375	-0.1253421774795777	0.04383424791922248	0.8450256346663509
MAP1LC3C	1.227279778819324e-16	0.9427644438529859	0.5583735965347293	0.3530625153948469	0.005334510085246962	0.0989578676790461	0.03470071072054208	0.8450256346663509
PET100	6.374827766369706e-20	0.6993561043491541	0.6261176998809379	0.7016977275861018	0.005402417748882235	-0.0827866719298308	0.029074687324413775	0.8450256346663509
SOCS4	4.184749456471935e-20	0.9635508255565017	0.8566333239271308	0.7068698847363504	0.0054169177763835705	-0.051108901671214374	0.017955299174940206	0.8450256346663509
PSTPIP1	8.052946158539792e-20	0.8339761038898275	0.7925157834437813	0.6004830118532638	0.005455376039223069	-0.17614043129259788	0.06193396950364508	0.8450256346663509
PATE4	1.961273350874814e-18	0.94880044858198	0.717164582618605	0.4745319413853548	0.005467506861417906	0.17220534186352454	0.06056670400926935	0.8450256346663509
GJB1	9.945222702073055e-17	0.5475345699061872	0.6363294023914958	0.46039781032440896	0.005597999527062072	0.04256669681164682	0.01501439674927108	0.8450256346663509
HLA-F	1.0654989804932119e-16	0.6070727908724953	0.9274665750805506	0.27946046509921396	0.005689733325612135	0.08120453493254201	0.02870011193581271	0.8450256346663509
TMEM222	5.86149042646538e-18	0.8171777160541507	0.934080757269619	0.37343762178112383	0.005740724483213452	0.11873871988634921	0.04201186068314427	0.8450256346663509
CDC42EP2	1.9631221948358224e-16	0.8254824381048326	0.5596473595003854	0.5515440295265748	0.005758408612257815	0.055698621713547405	0.01971461885813986	0.8450256346663509
LCMT2	7.691488212378265e-20	0.6833779144308034	0.7828554139411319	0.5270454739504549	0.005791263330993765	-0.07018973029917319	0.024861186507019004	0.8450256346663509
FBXO31	4.500955263272748e-20	0.6963419239836699	0.558040639120782	0.3463124685814395	0.005791606029169775	-0.14630817945090802	0.051822701820580665	0.8450256346663509
SYT13	4.637618545835114e-20	0.6121162269547897	0.7309959284437233	0.8761097197475853	0.005802481357874668	-0.12001757321018175	0.04252033923868866	0.8450256346663509
ULBP3	2.9093996774546985e-17	0.8510808560590564	0.6623274570562476	0.6364845637554697	0.005868225037065917	0.11580829731140718	0.04108615955989314	0.8450256346663509
LOC100287329	6.613634847138043e-20	0.9896661513440078	0.9703679791331403	0.3796558096562468	0.00588025723616233	0.08814359889326726	0.03127927012373297	0.8450256346663509
ATP6AP1	7.264842707624566e-17	0.8017827442267901	0.6131400776211784	0.43637209721223913	0.005936897739678183	0.11386335757442245	0.04045433470129345	0.8450256346663509
DNAJB14	1.053088147169743e-18	0.9476902005982891	0.7527555932015239	0.2493493607238426	0.006031882954477625	-0.10479438829678973	0.037305640073561734	0.8450256346663509
SMIM1	6.627143015626263e-20	0.8652228567144364	0.5139454421255627	0.2140305337643149	0.006100678082289228	-0.06430011332821978	0.022922454277070684	0.8450256346663509
ERICH6B	1.266634252360674e-19	0.7532755647503334	0.6415383391419206	0.5595788043414438	0.0061245316911537565	-0.24602372125234162	0.08774807554612678	0.8450256346663509
LARGE2	3.255908591405978e-15	0.7858163159190903	0.8591323527820479	0.4002057989321304	0.006166944116813498	0.10002794261480505	0.03570721228574179	0.8450256346663509
ARHGEF35-AS1	5.514102809616431e-19	0.6793106470045347	0.9988212822290166	0.21731791953772514	0.006212054075837755	-0.09460940970886741	0.03380372017210644	0.8450256346663509
TBC1D3H	7.958262161405555e-12	0.951377276510498	0.872782453666378	0.7933717619198214	0.006366161764203806	0.22604660081705394	0.08101446965534496	0.8450256346663509
SELENOS	7.027873863201828e-20	0.9729677201111337	0.3679279210757369	0.5619035396339807	0.00636864234894244	-0.0592622426852879	0.021240462339470006	0.8450256346663509
ATG2A	8.881206130699835e-12	0.9168628391870906	0.7216426767473814	0.3486832911621075	0.006401802058517883	0.18888357024014224	0.06774289910170805	0.8450256346663509
RECQL4	3.4437015748835895e-19	0.7873160755916899	0.6261145873128262	0.5326809914210062	0.006410690782376293	-0.20313876566962197	0.07286823650240598	0.8450256346663509
ZBP1	5.22226692828571e-20	0.8109275990506138	0.6620150468569048	0.9044758747326993	0.006489840220353031	-0.13542155540177298	0.048652489021781285	0.8450256346663509
GPR32	5.802234588979629e-19	0.808243368983071	0.8699261478547157	0.28375191887281975	0.006520987295212378	0.09843049433044532	0.03538421275290976	0.8450256346663509
ACSM2B	1.0292229988557288e-16	0.874853997036624	0.9236732393626039	0.32216821045946903	0.0065564804873053575	0.12382440552030433	0.04454348275229061	0.8450256346663509
OR2B6	5.198050996213728e-20	0.7428975442234853	0.9277773083402409	0.38513448996169	0.00656227162685283	-0.03749887366091299	0.013491015818844371	0.8450256346663509
FHDC1	2.974716235466533e-15	0.5494658614321781	0.9488911450804582	0.41415595484517764	0.006582141703806956	0.14048751000674586	0.050562708445491066	0.8450256346663509
SLC1A7	7.75021672835118e-19	0.6549869351639364	0.8741644267083437	0.2171274767934973	0.006610907988463751	-0.09543408803361114	0.03436655776192131	0.8450256346663509
RCN1	4.3457751338102886e-16	0.8022720164568683	0.9124324015449197	0.4880188455576112	0.006621661182523975	0.05761468463237386	0.020751770677623096	0.8450256346663509
SLC16A2	2.9313845563840296e-18	0.8880778289605813	0.8697167158726782	0.3218665515255467	0.00663995621152213	0.07048110728930307	0.025394907585995503	0.8450256346663509
DMTF1	1.0961846440290119e-17	0.9202580161790304	0.7251738045377518	0.4143821201132337	0.006695643649252955	0.120943740601309	0.043623228598385	0.8450256346663509
C16orf87	1.4233109226437553e-19	0.798870366752645	0.9965530747265696	0.20650659742450497	0.006920933072661926	-0.040803424531739824	0.014779638899343037	0.8450256346663509
SP8	5.5145265321927406e-15	0.6525943460857251	0.6429351327535459	0.23634843313977208	0.0069476171591418955	0.0699453995232692	0.02534780354707504	0.8450256346663509
CTSA	1.937541356383324e-19	0.998236825927329	0.841326624971506	0.2896803278293895	0.006988680576556362	-0.08781052038123793	0.03184606241782503	0.8450256346663509
TCP11L1	5.4452676935341e-20	0.9361220342673975	0.4910999534464996	0.39708161004992804	0.007043702806197801	-0.07941491234037937	0.028830249960365158	0.8450256346663509
ECE1	2.832809465266193e-16	0.9512984857123181	0.7329629232157711	0.4068918533864867	0.007109581015102132	0.1607344049517802	0.05842182168096065	0.8450256346663509
CD46	1.3271705065719594e-17	0.8580167426146729	0.8738290024671664	0.5577381489508024	0.007156093945998268	0.09739879321650041	0.03543109945720602	0.8450256346663509
A4GALT	7.124572575567188e-20	0.8366744638994167	0.6480146624601226	0.248767947112485	0.007267951028479291	-0.07196727785787038	0.02623227128740774	0.8450256346663509
PDE6C	9.447328196250597e-13	0.8881485324214724	0.4730616769972684	0.3341224282306331	0.007367914596063502	0.1436676720499081	0.05246000693240967	0.8450256346663509
USP30	1.7753037813971082e-14	0.7469105580542528	0.586701804001721	0.5095914177899543	0.007418416931160085	0.0985659146449624	0.03602310860459407	0.8450256346663509
SERPINB3	4.2418575635289006e-17	0.9336615663722102	0.6865710714935532	0.4548032144555344	0.007430266247583681	0.11089847382279475	0.040538723495851796	0.8450256346663509
COX7B	6.202747798837175e-20	0.7360283771999965	0.9949009875330199	0.39409516540456624	0.007486182219887519	-0.08466713843509537	0.030980106124947157	0.8450256346663509
HSD11B1-AS1	1.0381827750727857e-19	0.7997508903802725	0.8135444729250609	0.31879815724842003	0.007519342288508911	-0.08790217075354803	0.032182339757451696	0.8450256346663509
DHRS13	1.7892087366684526e-15	0.9072382311094653	0.9227412468108699	0.7614967891372817	0.00760674185843764	0.05877855815126588	0.021552207382731198	0.8450256346663509
PKHD1	9.337619937122524e-18	0.9736998728958548	0.6276988318318711	0.6419427772384706	0.007627574810735109	-0.2739094406117484	0.10046968650795197	0.8450256346663509
RPS6KA6	6.621649247747158e-20	0.8595635737581473	0.6488534128292316	0.4540958603241164	0.007646953826058601	-0.12319169776085459	0.04520157575370937	0.8450256346663509
LRRC46	3.4666372172580894e-17	0.8152776882871837	0.8303402443122169	0.4267016744125668	0.007843244035486249	0.07464898282679538	0.02748145303998925	0.8450256346663509
NOC2L	7.193935372603095e-20	0.9173355224665782	0.9302332614619588	0.7560586230379436	0.007847528832182135	-0.17409290925117293	0.06409557947830728	0.8450256346663509
RAB27B	6.469143722230707e-20	0.7355198462197823	0.9437937874587325	0.35078953366951593	0.007917917939831062	-0.06454356746988882	0.02379088438175149	0.8450256346663509
LCE3C	1.1977200181893797e-18	0.6774291607902052	0.8971768513266718	0.3390558941362767	0.008001830641864103	0.053382004883034864	0.019704101509835568	0.8450256346663509
VEGFC	2.4350016514501453e-15	0.7990694528840627	0.6537830319931037	0.5675678244432274	0.008111576786359	0.09898083333092064	0.03660122301001689	0.8450256346663509
ANKRD24	2.869329726995193e-13	0.9290324674877941	0.9957096973980376	0.5375524666585701	0.008186314387390835	0.1365152411108798	0.05054218139985353	0.8450256346663509
TNNI3	6.102845582609795e-20	0.8508423279868623	0.5707695346983299	0.378427370726548	0.008202228419173913	-0.08354157589448008	0.030937664374632735	0.8450256346663509
CSTF2	6.850240590449029e-20	0.9242912258191054	0.8555592590439788	0.6040499204712013	0.008259146573240773	-0.09206949089200907	0.03412713833385266	0.8450256346663509
CCL16	1.7477573721782143e-16	0.6799788378667816	0.5467740718615535	0.663656513081394	0.008273374424460826	0.048185823457019994	0.017864994568158234	0.8450256346663509
AAR2	6.74886389091056e-20	0.7674230861398372	0.8048716139615314	0.8948022346089952	0.008282537412611196	-0.04785802515336675	0.017746077286352743	0.8450256346663509
