genes	coeff	p_value	stderr	fdr_bh_adj_pval
C4orf17	0.216886243974316	0.204013665245878	0.170749781353085	0.7418745517884471
NPIPB3	0.374443096913248	0.0072725963408496	0.139504299501676	0.2935323086307878
FADD	-0.123293355319444	0.46914694036952	0.170325806026053	0.8850671407762967
ENAM	0.189082864478353	0.215663207944938	0.152714939019611	0.7523737159574756
CHCHD4	0.0223560965838424	0.8969635774306	0.172636566167616	0.9814200366515677
ZFP3	0.35588914798782	0.0498339225395264	0.181447715493885	0.5286101490957029
TARS3	-0.133644202062539	0.430254416721919	0.169436606576589	0.8729657776066163
BRMS1	-0.0990740324798794	0.530547854623922	0.157969998893051	0.902157459218053
VRTN	-0.396715163009116	0.0099539565784903	0.15391920572865	0.33616302708396834
MAP3K21	-0.357376922850297	0.0266486077891756	0.161225574949814	0.43846524176335366
ARHGEF10L	-0.257594527183522	0.0862747408013069	0.150167216330518	0.617550330565437
DLX3	-0.0161534434676568	0.917183093666838	0.155347443610438	0.9862061464952124
FRA10AC1	0.0531212234103154	0.727268787983264	0.152314141215926	0.9542111622815233
SVEP1	0.162624512694773	0.281342760429221	0.150954542876545	0.7994508691996738
PDE3A	0.0186124383054153	0.901631798791993	0.150585772401328	0.9821681195093737
SERPINA7	-0.0722599958248211	0.661171305115594	0.16486552530105	0.9367451172960116
SURF1	0.191616022571332	0.232914323980341	0.160632404144911	0.7634600480899683
KLF13	0.113303126961833	0.465771813044434	0.155342590216943	0.8838634835528995
NRG3	0.0865375307752834	0.561922422298574	0.149205616475584	0.9137938528257672
ZBTB2	0.109350871267344	0.522663000576302	0.171062305727433	0.9004386333040343
DDX28	-0.280782198783785	0.0842168210640616	0.162609552358492	0.6141761212213875
GDA	-0.262528055015001	0.0916861601646411	0.155658011435805	0.6264494803986655
CYP1A1	0.0823644395853092	0.627681260863597	0.169826013130112	0.9298870332916384
UTRN	-0.251858340935542	0.128491235757094	0.165687714953516	0.6769684412406316
ANKRD33	0.175379682746687	0.302221837506616	0.169994189859838	0.8134909744396834
NME9	-0.0972756746058903	0.52442096608689	0.152818112758507	0.9007425986426983
PABPN1L	0.102223331353397	0.481274891103782	0.145151319631738	0.8878529199808576
C16orf82	0.148531073556287	0.366405645786848	0.164444973596889	0.8461776748620105
TMEM104	-0.232926710352181	0.164973628265701	0.167749749251769	0.7137528503025983
DLL1	0.0124866462640097	0.937202008257488	0.158486032754747	0.9896576269280989
SENP3	-0.0846208329128664	0.583115020407579	0.154181145256544	0.9178464541128141
OR52E6	0.0598226193281944	0.704375016967807	0.157668046879478	0.948268864233093
ZNF740	0.140834566822744	0.379598659480185	0.16028772295675	0.8534167496422532
SELENON	0.166956639097643	0.290216266243881	0.157856629430438	0.8075216591925047
TP53TG3D	-0.0380788710959053	0.836249530768379	0.184229020697006	0.9737786733985063
KIF5C	0.0959095283526452	0.562519588129738	0.165617354433345	0.9137938528257672
USPL1	-0.140329292899364	0.371918989413639	0.157163979700138	0.8491839044082423
ACAT2	0.072572671600025	0.651392307719098	0.160619838276521	0.9343973784057213
CARD17	0.310988576817193	0.0465105980571357	0.156218374325148	0.5187698630110547
CTDSP1	0.0998352895799484	0.518665653044254	0.154686594985202	0.8985842020329673
CYP4F11	-0.0766591256697434	0.634111661657323	0.161066291450409	0.930858815010918
TSHZ2	-0.154577652035765	0.3573006813622	0.167924131787811	0.8416651729652733
IL16	-0.136762991969688	0.426524916742157	0.171995971730125	0.8727417078098005
IGFBP1	-0.115160069481804	0.505312161174065	0.172872836277767	0.8942443388928158
DECR2	-0.145377003021231	0.360628935426809	0.159026690763494	0.8426571745815502
MTA3	0.187451616395053	0.221256910666187	0.15324781756669	0.7574332665411083
PORCN	0.0602866551333926	0.710301459318988	0.162300315544374	0.9504276289314568
IRF9	-0.383270086489363	0.0192973948088286	0.163809142779744	0.4048138348781199
FCER2	0.0645274258145616	0.683275485503985	0.158156411424847	0.9427471888599287
METTL18	-0.0678584256916146	0.653039036142823	0.150949352501474	0.9350541010084584
KIN	-0.104642608513903	0.53103965768486	0.167048705394967	0.902301524109695
TACC3	0.11417077565893	0.487446272483648	0.164422058869409	0.8898178265404614
H3C8	-0.234771396537611	0.130827428101495	0.155390579729103	0.681388175602722
UBL5	0.147199208726627	0.365686336742196	0.162726036461796	0.8461776748620105
BTG1	0.178852336931464	0.2642482232597	0.160203613964081	0.7860941997052328
NEDD4	0.0763851321008113	0.639419846622332	0.163038387722291	0.9308653337581752
MVB12B	0.0954211223462424	0.560318737203892	0.163850176314961	0.9134753384170926
AIRE	-0.342664669800552	0.0287433167641494	0.15668329734861	0.4464288353735594
LAYN	0.117301474137818	0.450679176803368	0.155513832538418	0.8809829312018587
ADAMTSL3	-0.213991855314662	0.199941388939521	0.166956975301613	0.7384601210743073
MED12L	-0.179942883709801	0.265121134718772	0.161475207746699	0.7868905943723802
PRDM5	-0.229486583225196	0.170345673671053	0.16737480667423	0.7177720632728944
PISD	0.115786511950097	0.471973347308132	0.160977366973433	0.8858868675036016
SCG3	-0.0700465263573654	0.659698731602951	0.159077650087721	0.9363452608718373
RCVRN	0.0470376316494044	0.754575329517629	0.150466411372921	0.9601659405472293
EHBP1L1	0.0076223171839949	0.959576359412645	0.15038542122863	0.994407945222346
TNFRSF13B	0.237988414933983	0.192763498762722	0.182724016868842	0.7353904495437449
AFM	0.351783607267722	0.0434728582758753	0.174224631415313	0.509375859394971
GABRR1	-0.275919082219305	0.0799219484693731	0.157565483218206	0.6041581638601005
PHF12	-0.144191931440396	0.328220526449109	0.147480082855524	0.8291325756777831
MAP7D2	0.142526815730428	0.376187397392739	0.161057630280171	0.8517193412607237
CR2	0.257370046944906	0.142999450423693	0.175713729980825	0.6947321464179868
FRMD8	-0.263069432995891	0.0989742243848827	0.15945080132612	0.6407177040084042
U2AF1L5	0.0903022403940495	0.598925145166349	0.171694616318439	0.9230217916137704
GGT1	-0.0073121671991158	0.96429134521248	0.163330627384097	0.995180596263906
NABP1	0.212123715817096	0.174234106836923	0.1561198130804	0.7201314388002873
UNC13D	-0.16914367345063	0.31853526354072	0.169572284139165	0.8243166286398259
ADCY2	0.0578219894137947	0.701095026052863	0.150639798638337	0.9468639023874079
COA1	0.0213879081968226	0.88630965169451	0.149591581379983	0.9796016056327671
LOC102724064	0.118721211562092	0.48011350596376	0.168131775180888	0.8876891985950254
DUSP28	0.0580875248456842	0.74758012678645	0.180490324404516	0.9591345536998696
DDX55	-0.167177129182654	0.300430285198929	0.161444072530872	0.8120168477455135
CCDC186	0.0414310371855781	0.797618935587516	0.161568694142738	0.9647248160933213
INSR	-0.257824694919762	0.094618482376592	0.154245406120906	0.6323522503787986
RNF43	0.289527682037046	0.0688506654161548	0.159133742547546	0.581302719188435
ATAD3C	0.258354633130801	0.0697204638366681	0.142444413273613	0.5842068631663389
SP3	-0.0040651790416796	0.978651504232953	0.151914990553877	0.9970790565812234
LPAR3	-0.227902642578209	0.184339101457998	0.171676415374881	0.7282781859079152
GNA15	-0.0509203590487656	0.729611476268076	0.147320927316796	0.9547386334031364
MMP13	0.116710615857491	0.459655015151534	0.157841821273139	0.8827917536192628
THEM5	-0.125276581419053	0.457486705335439	0.168611010551227	0.8827917536192628
SEPTIN11	0.0782808348113851	0.606099205205765	0.151810152321882	0.9239234794430798
MYC	0.444518539591085	0.0056516519294355	0.160630506186828	0.26378723095260104
PTAFR	-0.0888197713627733	0.593377884155099	0.166345526136208	0.9221580921399015
CIB3	-0.0162400380158611	0.924102302805007	0.170467646377898	0.9872859768924472
LINGO2	-0.300054791051588	0.0577308291199641	0.158111952736801	0.5583816591236485
RCL1	0.216230204592391	0.206549374990808	0.171188632219309	0.7441423096159169
MTHFD2	0.171600546361623	0.260333150322492	0.152451961570229	0.7828691516261507
DEFB134	0.0114358133891925	0.949015328469197	0.178842866654708	0.9914443310448113
SPRED2	-0.0679565054347605	0.666545737690247	0.157710640262184	0.9375005457561094
SLC18A1	-0.304997373131552	0.0423049331946254	0.150207425729567	0.5035030679979643
TPTE2	-0.159399749039796	0.354005078015587	0.171980327781633	0.8396560581313286
FAHD1	0.0060629902368003	0.967221939598972	0.147543970657278	0.99555385322488
COG2	-0.138114992772321	0.342430063686058	0.145479956478928	0.8345806890199103
ZNF836	0.330902450758806	0.0251125620266361	0.147746285187255	0.4331935961762125
BCCIP	0.0176464952395601	0.911561008203495	0.158877548674604	0.9851238458107726
ZSCAN9	-0.0609149778377487	0.704831982091865	0.160807877360885	0.948268864233093
RBL1	0.124848506109114	0.453088995641521	0.166403623080706	0.8820330951541657
RNF20	-0.106744383302808	0.47090566234085	0.148049176562805	0.8854349521320621
MIR1268A	0.13927983287118	0.388112554497926	0.161381831288531	0.8572750880394642
ABCG8	0.120254423759097	0.468886489607557	0.166030308726064	0.8850671407762967
RPS6KA2	-0.0774536778057553	0.621842068639685	0.157029979057172	0.9286562618301901
ULK3	-0.124939161952699	0.438120302534854	0.161134627568246	0.8757490195771974
LACTB	0.0485005237804019	0.77819994290569	0.17219186777052	0.9620341340225315
JAK3	-0.164725391590038	0.32247011833546	0.166491097226319	0.8268662577912915
GPS1	-0.176523172563532	0.222604832550752	0.14473491498195	0.7588525467621048
C11orf95	0.33208076919138	0.0237211496645836	0.146833412685539	0.4274952690276526
KRBOX4	-0.0518709568974341	0.739770081187224	0.156163581073474	0.9577657835885567
SALL3	0.126145424611442	0.426404268327988	0.158601721027925	0.8727417078098005
LY6G6F	0.114511342652355	0.447674912783856	0.150812321029614	0.8797394405057251
SYBU	-0.330714979811595	0.0539004263351086	0.171565062916716	0.5453866994554111
HTR1F	-6.73110744901561e-06	0.999967621880167	0.165872717037015	0.999981193874747
LRRC4B	-0.100590927649807	0.537705503666627	0.163221069440318	0.9039216216398577
SLC19A1	-0.0770519453022175	0.63379386564312	0.161740032416101	0.930858815010918
C14orf180	-0.0943489703900989	0.554741027961857	0.159731906712514	0.9107920025245497
ZDHHC22	-0.187975706995706	0.223027173874383	0.154265838446937	0.7591905900985856
DNAJC28	-0.0537881077583178	0.734623218573613	0.158675365308901	0.9564656639507529
SLC3A1	-0.1508116365291	0.326491564338997	0.153700406154509	0.8291325756777831
BRD3	-0.0827260083222792	0.632497318260873	0.172989220610463	0.9305902249858766
RAB6C	0.117265048269337	0.468030951232973	0.161591873050147	0.8850136519349012
WBP4	-0.224220003863657	0.199000848397446	0.174571327117777	0.7384601210743073
TRNT1	-0.0096550195339141	0.951429648140375	0.158508837374564	0.9922581577345735
EXOSC9	-0.217964163196609	0.189253786054053	0.166031273422424	0.7330987056434134
PSMB3	0.0665697389725824	0.680001066684146	0.161396181008546	0.9419636959266303
POLR2G	-0.19218225960534	0.258151070980366	0.169956685221979	0.7811043791648274
ZNF594	0.29183400392503	0.0375841292120162	0.14034788707582	0.48555434539292003
ANKRD50	0.397870173994825	0.0116627749960497	0.157748098139828	0.34974875329998795
ACLY	0.128831479964879	0.440683530134453	0.167088045554894	0.8766687711435182
PIK3CD	0.0088216865126212	0.958945181723494	0.171370385917245	0.9943229000078524
KRAS	-0.214993739847495	0.206664632232962	0.170252953344335	0.7441970920942844
TMEM131L	-0.182332711810225	0.272167417793052	0.166046096814512	0.7916688248780641
CUL3	-0.0561322921336751	0.697535165909256	0.144428946441687	0.9458380613061873
SLC2A1	-0.201660801391549	0.198366715925531	0.156785768719552	0.7384601210743073
VAV2	0.0305747487018061	0.847007087301898	0.15846883586929	0.9748622744945855
SCGB1D1	-0.4126616146173	0.0119611397377289	0.164191885354655	0.3525762733307039
CTSK	-0.0329900217450428	0.840026203907362	0.163430239100781	0.9741281278024957
PITRM1	0.239625135907226	0.121113136545204	0.154585068559476	0.6721283846507942
MTARC2	0.20223929564315	0.232527686579205	0.169397675652981	0.7634217207470079
SERGEF	-0.521262444406779	0.0009490255154265	0.157708945048702	0.14395926214423815
PCSK4	0.0343435284879142	0.837723869626341	0.167688276197545	0.9739190048241759
TCP10	-0.0056094912807813	0.972374133368928	0.161979788350366	0.9961427316028686
PKD1L1	-0.586443285847202	0.0005390570678386	0.169464948559098	0.127770436704461
ZNF623	0.467053622006397	0.0030793936692575	0.157804412445543	0.2189024055399944
HSPB9	-0.339751615350019	0.0480702889810053	0.171874143224422	0.5227141399768456
NET1	-0.336724898108763	0.0341648160298331	0.158973395716249	0.4704692979808973
PPIAL4G	0.295117047894971	0.0683741128471049	0.161926838560132	0.5793916440597137
RPP40	0.0665579620668968	0.706091785261309	0.176494774256268	0.9484656058221883
SGCA	0.24677914339288	0.111245219757748	0.154951573350834	0.6565121896551691
TPH2	0.0249179923682444	0.859668207588648	0.140941629782839	0.9758143664152137
TTLL12	0.302250948085127	0.0354846980608056	0.143738500198433	0.4791750436208044
B4GALT5	0.234383478809371	0.155167427222941	0.16488300637588	0.7070119343527397
SNRPN	-0.0320953290707312	0.849339536584879	0.16895728948136	0.9755419344363601
MANSC4	0.111569853420133	0.496474556186988	0.164061918850934	0.8924940664535095
TRMT10B	0.112711104370377	0.451694457724425	0.149763667110043	0.8818312112781754
SRD5A1	0.172599060683693	0.290549174764014	0.163304171808558	0.8078305526545512
GRPR	0.344409025290605	0.0365140306409414	0.164697866005687	0.4843604573736923
POGZ	0.0838413287965715	0.622004067744458	0.170059388039773	0.9287457997828209
LINC00630	-0.215835145726927	0.166071376318268	0.155844608403344	0.7138682138178
CDH1	0.076161193702665	0.604201757615108	0.146925042018987	0.9234607168200714
CUX1	-0.0010640588857851	0.994372165070287	0.150855369346291	0.9995813019186013
C2CD4C	-0.118885828865097	0.479320835965398	0.168061369944048	0.8876874842771714
ROR1	0.0683499468800942	0.645117699972219	0.148407692591401	0.933219072544345
PIM2	-0.217491466188331	0.174272532368473	0.160084675866175	0.7201314388002873
CBY2	-0.106882502663681	0.538154679874613	0.173621644710885	0.9040625550014153
SLC35E3	0.135257438612469	0.390297400505081	0.157444859227026	0.8581549814619388
SHF	0.235675668844359	0.143083602533705	0.160936239442905	0.6947321464179868
OR5AP2	-0.308063544665401	0.0374883440024992	0.148078596476615	0.48555434539292003
IQCF6	0.0098183549704588	0.956994121414695	0.182070891283626	0.9939044897650307
CLPS	0.0515161339752353	0.761736404247007	0.169907325296249	0.960226988703882
FBXL17	0.0663142965127757	0.664681523167028	0.152988711425674	0.9369907557255437
CCDC198	-0.0198249119532687	0.905028584386016	0.16616096824395	0.9836535343821278
AGRN	-0.0950889964555469	0.559322369207827	0.162865926075153	0.9127158302725301
TIMP2	-0.260057307814031	0.130754380572521	0.172094170992531	0.681388175602722
GNB4	0.0995505057940074	0.550716715962315	0.166838880903473	0.9092695129852173
LITAF	0.0411695276364163	0.80769318428453	0.169141382124784	0.9677016225555367
ARG2	0.0065461871507199	0.96976684698085	0.172719380597803	0.9959514557687658
UGP2	0.276683953903655	0.0906566696601229	0.163530216993329	0.6229608749804519
PINK1	0.136147044473886	0.382635927359869	0.155944188417833	0.8548157977575659
ADGRF2	-0.298609604709983	0.0912363392103125	0.176805923128006	0.6255965544039651
MAPK14	0.0847479374957911	0.59574967045693	0.159744266542163	0.9226870101636435
CRTC1	0.277998826233643	0.074374921878198	0.155802733956458	0.5922339033022038
KIF18B	0.0717818990504573	0.6164792325105	0.143321186066737	0.9271126461821407
ACOT9	-0.293074201081419	0.0762483225017215	0.165309513836244	0.5962150941528667
GLI3	-0.168153223241175	0.240498405951902	0.143262515828021	0.7697894291440956
PALLD	0.014336075001793	0.927401914472646	0.157341971352339	0.9881373588214786
GPR180	0.231154816490706	0.157525493103631	0.163540239791797	0.7107104771597024
PGR	0.028857949956182	0.843998724529507	0.146649896527127	0.9743964471751516
GLRX	0.163077045250291	0.327553676008093	0.166566065265449	0.8291325756777831
NMUR2	-0.231359307869655	0.13952943752286	0.156583528718295	0.6922203544690175
AK4	-0.0051593400360151	0.972743985615807	0.151003624641042	0.9961427316028686
NUDT10	-0.404628568010549	0.0111934054870624	0.159515970901914	0.3445316334368128
MTERF4	0.258781097425473	0.144090525748339	0.177159177493217	0.6949163821838091
C7	-0.128195200312714	0.44272005123883	0.167006055592766	0.8771033512051727
TPST1	0.141738679400838	0.364505864625709	0.156304254345823	0.845836213244635
HCN4	0.0244840713321719	0.887409988550291	0.172931786467498	0.9797139751080147
LMNTD1	-0.295905494318069	0.0587042755282213	0.156530496620651	0.5594428799873632
CRIM1	-0.159277702866488	0.3658167454883	0.176126495984868	0.8461776748620105
SMG8	-0.305763583480564	0.0540200123543713	0.158700047609273	0.5459670030120173
PLA2G7	0.0086891860072433	0.959563665396515	0.171380473845026	0.994407945222346
KCNT1	0.153296907396643	0.383907492490621	0.176057800757964	0.855540004552276
OR4F5	-0.0966850079285123	0.558802429226386	0.165380596733623	0.9126453908976877
QARS1	-0.0688116623467678	0.672433227406837	0.162748076737458	0.9388014657668399
SRSF5	-0.286657779532757	0.0660741718952109	0.155968570755481	0.5739723706949108
FIBP	0.241517139672283	0.14816857982028	0.167020750577074	0.6978299245714248
PANK4	0.23193534994151	0.146503258228706	0.159735743488271	0.6967087662376312
MYO1E	0.0880416010729572	0.577483708977552	0.158045758615906	0.9174766543455064
GEMIN8	0.338150808940443	0.0380865292922327	0.163048929977314	0.48807659441129364
LHFPL3	-0.201757546840464	0.241603062028734	0.172296655440724	0.7711556265314826
PTPRA	-0.170806906160635	0.297559171343912	0.16397222790231	0.810220976611391
HMHB1	-0.0187988267880244	0.910461570905562	0.167165529880444	0.9851238458107726
AGER	-0.0044777250136723	0.977237118190978	0.156931928569985	0.9970112289281462
CBWD6	0.144956510999752	0.346834332643033	0.154086542445692	0.8367620964923146
KDM4A	-0.177143542517285	0.227860725042901	0.146898849947971	0.7618162837509637
TMEM126A	-0.038499384549039	0.820488096638784	0.169662669356785	0.9694278392683261
C19orf84	0.227009368896538	0.149613587179963	0.157547180186909	0.6993878087922103
TRIM49	-0.169456471898668	0.304300618380487	0.164960546667201	0.8137482233553702
NEUROD4	-0.27240635671503	0.108819907374199	0.169880241326446	0.6526684592858465
FABP12	0.0998734325146126	0.5651849388147	0.173645431942919	0.9137938528257672
CD1C	-0.207250545170184	0.235300658504074	0.174627528890887	0.7649897993837577
CD109	-0.280469719588647	0.090229687319017	0.165548231203751	0.6221405296469948
ENDOG	0.0022793626568179	0.988337180286654	0.155931717300498	0.9986436734611864
KANSL1	0.10095503080803	0.552405283757048	0.169912273786517	0.909987548874473
CTSG	-0.274612823467836	0.0934567267084302	0.16370960273357	0.6300517974809107
GGA1	-0.126494696888542	0.41567010399237	0.155407272962972	0.8672030329670587
RARRES2	0.0561882303935114	0.731308653755653	0.16363029638148	0.955278638562699
OR10J5	0.0111184111794526	0.948046933816465	0.170633530333435	0.9912065884036525
MAVS	-0.277529680855213	0.0515570207451791	0.142555817070108	0.535669205835899
FSCN3	0.0586981709109451	0.714624512946677	0.160530001513197	0.9512085497477335
TRIM38	0.0996827237962301	0.538621369787062	0.162112331726505	0.9042690491081405
WRN	0.297862187362226	0.0271637120416239	0.134830691926599	0.43846524176335366
SNRPB	-0.145170847644409	0.374054794988665	0.163314468086051	0.8501380503519962
SMIM20	-0.264196950346312	0.0980088899933411	0.15967574545271	0.6389884758412565
TRAF7	-0.348512178574965	0.0261943661615155	0.156753186987518	0.4347385533516723
PLGRKT	-0.0595451929175267	0.728621956731555	0.17162014940821	0.9544567563695041
GRK5	-0.317982837411935	0.0597959747489939	0.168933583507848	0.5621112661517729
FBLN7	-0.038826834313019	0.820069613312914	0.170700836910268	0.9694278392683261
MON1B	0.108727288649954	0.50214159691989	0.162007771119152	0.8931659052945589
FRYL	-0.15108717736059	0.330858929030097	0.15537789982355	0.8304273458224413
NSMCE2	-0.03240057281983	0.850829751017374	0.172288643438115	0.975611030001046
EGFLAM	0.186224408060265	0.279814882869347	0.172312693719009	0.7982233136395366
EXOSC5	-0.274730941493308	0.0781633147206777	0.155969176650483	0.6002260990283048
TCEAL3	0.0122671646283683	0.941999674017084	0.168605134564035	0.9896576269280989
CHRNA6	-0.163521986750295	0.295148169953949	0.156197175005856	0.8086877642368948
FMOD	0.0221568798182176	0.887137483009931	0.156114364423822	0.9796750777792372
IFNA2	-0.141367699644515	0.400489004823209	0.16814510875734	0.863955127033929
TIMM44	0.126849153986773	0.403221526924576	0.151754934303704	0.8643584507858055
DNAJC24	-0.0958961264648143	0.526837074393616	0.151532584720693	0.901152516799252
PRDX5	0.0450326701741918	0.762936032045451	0.14929894739606	0.960226988703882
GABRG1	-0.0562547455799671	0.694921761921322	0.143439426024525	0.9458380613061873
CTNNAL1	0.348351964190425	0.0262692937842695	0.156759430708185	0.4347385533516723
ZNF598	-0.322389577604451	0.0292088440461311	0.147840615954448	0.44981817072894226
POLR2K	0.235776199360109	0.173281164425274	0.173143818804513	0.7191602909332564
LOXHD1	0.195081712570896	0.262636470281219	0.174151894790263	0.7842473209529248
SNX21	-0.166690281969072	0.302830676506135	0.161775212623333	0.8137338236688062
SMYD5	0.0306581196767627	0.846912485947491	0.158801525654985	0.9748622744945855
ATP2C1	-0.351992354700995	0.027640998369445	0.159826216728213	0.4393245456364984
RIPOR2	-0.072660172105613	0.652068267940483	0.161148054252275	0.9344669092521344
UGT2A1	-0.0195768912262576	0.910187131903472	0.173550145321553	0.9851238458107726
DCAKD	0.067710403637776	0.689223379778499	0.169314434234412	0.9450085253169643
MDP1	0.273627205665984	0.106158936339124	0.169355082186703	0.6496449874774249
OPALIN	-0.0281303987406343	0.86808672244117	0.169369182988012	0.9768150220367184
SMCO4	-0.391087334981494	0.0145715720700994	0.160094341180444	0.37730629643246
ACAA2	-0.211593781802629	0.169788077083425	0.154123448226919	0.7167678966431769
MYBPHL	0.0816189613938627	0.627073017139518	0.167991853526989	0.9296527018769937
ABCG4	-0.0894144018009949	0.573347569943113	0.15878160087584	0.915607497282374
RNF112	0.230161311355244	0.151079188510174	0.160309607811867	0.7019128301303464
SNX1	0.084865231261033	0.622706112327636	0.172483745864192	0.9290507890205455
SMAD3	0.171967325910876	0.274962914013503	0.157521831899451	0.7942161097727379
ADGRA3	-0.122758182825514	0.435051950462441	0.157266163859728	0.8748489699490685
NRF1	0.23362320058186	0.109275360483937	0.145881502053972	0.6530332852557797
MFAP3	0.348201794650093	0.0404839910986517	0.169955982571587	0.4979257364653763
SCAMP1	0.373093544009767	0.0101804305772873	0.145192934774917	0.33802467285708493
C9orf16	-0.03318693924846	0.844312533815225	0.168993241417	0.9745115118279463
HNRNPUL1	0.0706792196429572	0.678529654368883	0.170529000129273	0.9419636959266303
PLEKHM1	-0.384015521535469	0.0201317495557411	0.165247334729749	0.4119828696654905
UGT3A1	-0.316221495273005	0.0554899281534605	0.165126976753544	0.550154227765491
NTMT1	0.0392371505568321	0.804268673001319	0.1583250991696	0.9664071988014397
PPP1R10	-0.0893353100231955	0.598406568970699	0.169615419659627	0.9230217916137704
TFAP2D	-0.215221552487114	0.165740756215933	0.155280249913791	0.7137528503025983
OTUB2	-0.100425365988332	0.525089847371654	0.158020978291372	0.9007425986426983
RFWD3	-0.062309266366134	0.689128196251203	0.155758193250783	0.9450085253169643
TRIB3	-0.257887951220621	0.145327307789549	0.177092104576016	0.6967087662376312
MEIOC	-0.0047401359307927	0.977603888767999	0.168850052623042	0.9970112289281462
SIGLEC11	-0.288494562066274	0.0549276875732272	0.150300812214394	0.5484633554006882
IDH3A	0.0742778647039419	0.650198850854669	0.163793085622594	0.9342107151767024
GALT	0.051688977638368	0.750528215211717	0.162573122836993	0.9600748490160846
MYRF	0.111852091530436	0.467926037075235	0.154096454808323	0.8850136519349012
SLC35B2	-0.0251369323041455	0.875322218368833	0.160208026012507	0.9780742580899661
FAP	0.02151595290286	0.884239599040378	0.147777527201769	0.9791614939818314
LBX1	-0.271107875940056	0.0756132657751087	0.15258842064281	0.595839080910954
PLD5	0.173975525931083	0.274327235812279	0.159150407983741	0.7942161097727379
BBS2	0.378006487108242	0.0190537493955597	0.161232706760254	0.40369608169789056
RSPH14	-0.0912371642455861	0.533821169267909	0.146640266406265	0.9035844099110794
PTPRM	0.118971509718756	0.483839494024509	0.169925165440919	0.8881850783644187
GEMIN4	0.0581477917136882	0.720663765772835	0.162618493699313	0.9524607949148999
BTF3	0.160721910560739	0.360024833886843	0.175591380550174	0.8426571745815502
ALAS2	0.334030115654689	0.049916235851634	0.170364327305542	0.5286101490957029
WDR4	-0.0517032073902948	0.736091373802643	0.153406566025282	0.9567862701630653
NCOA3	0.0370835233108968	0.818695505299748	0.161779159231461	0.9691139411530325
TXLNG	0.0737939993428202	0.692911016904467	0.186863922423182	0.9454358174583624
CYSLTR2	0.110605999568182	0.471827680908228	0.153724386949843	0.8858184063529633
LOC401357	0.0282776523275	0.841989673096041	0.141849911717334	0.9742601425842771
