genes	const_pval	sex	age	bmi	p_value	coef	std_err	fdr_bh_adj_pval
DCAF1	0.0650139000788132	0.9997190877354125	0.14491696878089896	0.6602401048696116	0.004397136659747716	-0.6178203594583415	0.21691832334004532	0.972862399768415
MCOLN2	0.11097203865076163	0.37222845632243007	0.23877737956903777	0.9684952887705116	0.004427088978652474	-0.39414120853667206	0.13848907537095406	0.972862399768415
NAALADL1	0.2717046287592487	0.8851416127642809	0.40961531232732984	0.7681718106935503	0.004523058175534048	0.4452037423262231	0.15680752525265693	0.972862399768415
GALNT10	0.17871235570607957	0.8655183858101851	0.2225741229532574	0.41155566810717226	0.0045453246744864085	-0.4344663424281091	0.15311017006807925	0.972862399768415
H4C1	0.1753886159948509	0.8548773372030557	0.10247950925783235	0.562266896854762	0.004565255328150218	-0.11909308634016091	0.041990235665305	0.972862399768415
LAIR2	0.126078305962404	0.9153312735134869	0.08430019856469628	0.9768869813963745	0.004586455462858197	-0.4032321808905468	0.14224716439420526	0.972862399768415
PAK1IP1	0.28802939282169937	0.7490229633470975	0.4108670179998788	0.5550823709535573	0.004633706906087112	-0.3294932402637186	0.11636896715838561	0.972862399768415
ANKRD11	0.43755221304175884	0.9555955865390263	0.28515242511069094	0.7186420151997611	0.00474826010053122	1.2165154782282341	0.43083330226334576	0.972862399768415
RAB3GAP2	0.06905901557878188	0.3033283971846301	0.25318324387283175	0.8038251502582128	0.004766895888865744	-0.6788450360166941	0.24052236882720732	0.972862399768415
STXBP2	0.05141210187093909	0.6037594153993455	0.06830789465260594	0.7454014810582911	0.004796544079907093	-0.7653531395217178	0.27136437428128474	0.972862399768415
TBC1D10A	0.12818999351916308	0.8981428719945658	0.17995568137260642	0.5172189565175183	0.004833864815015682	-0.3711344241284243	0.13170596428483483	0.972862399768415
SPRYD3	0.6626489556991042	0.9981978884608999	0.2825406611015112	0.8364271970413624	0.004863694551171731	0.4436792822367449	0.15756073237435406	0.972862399768415
KLHL13	0.10329930258592444	0.495825971084191	0.3373720022340785	0.8586947741593851	0.004945268605746657	-0.43026762307590183	0.15308869145223195	0.972862399768415
CSN3	0.7826054291315556	0.8589829787672874	0.31648243641860274	0.7265595766263153	0.004971712317383166	0.482679027931077	0.1718415562859023	0.972862399768415
BEX5	0.6392184627764516	0.5056395951198294	0.22875401134782625	0.7471470612645255	0.005105087221499912	0.14990814544479003	0.05353237264070147	0.972862399768415
CHURC1-FNTB	0.2791971656475538	0.5662995643068378	0.2600295934545769	0.8507641833204237	0.005105177698315839	0.7304922860008678	0.26086017561971964	0.972862399768415
ZBTB21	0.05089165040990504	0.8008425838746311	0.17190152696372674	0.9036620091353799	0.005191740672887654	-0.375587049988791	0.13438349083592707	0.972862399768415
MGAT5B	0.5635518585117999	0.8396269854837657	0.19616908879199257	0.953161589962658	0.005218520987887605	0.6727447518252553	0.24084866000107763	0.972862399768415
ARIH2	0.7753125713622054	0.7278091626443333	0.10881570654213306	0.9983826724532425	0.005512540863421188	0.6981285939641998	0.251537099941038	0.972862399768415
TP53AIP1	0.2588949319058087	0.44120990478725086	0.17603771172146832	0.5067449123493108	0.005534142593948908	-1.1981436326873962	0.4318914383108955	0.972862399768415
INHBE	0.1383872109129716	0.7666538582290228	0.09691069051172892	0.675537314578693	0.005561366053665845	-0.20760676139427306	0.07487851726344603	0.972862399768415
ZNF630-AS1	0.9797270828158916	0.8079953932664343	0.39352481865099964	0.9579819813095769	0.0055760703709345875	0.3368940816660082	0.12154686875146492	0.972862399768415
LMX1A	0.5933822419592094	0.3043571537324504	0.25257593098832265	0.9131566977172857	0.005592360567279226	0.37652796574170383	0.13589281027364955	0.972862399768415
TMEM200B	0.049570106932635874	0.4368716394257399	0.08273181068059453	0.9209913981788203	0.005607113809553181	-0.24169798233354678	0.08725830621236971	0.972862399768415
KRT6B	0.8506845733158362	0.9827928584014161	0.11093831938052283	0.9667337399701696	0.005622090265176711	0.4338685049583482	0.15668525972547243	0.972862399768415
DMBT1	0.1330161544874193	0.9374871432678941	0.37671169655913117	0.9176282325762045	0.0056896458358796365	-1.0995697994723432	0.3976527195521412	0.972862399768415
RAB3IP	0.9709777589892741	0.5995053199272313	0.16479999016296065	0.6009251848349253	0.0057782828555241065	0.3083870731796166	0.11173020578665263	0.972862399768415
LYAR	0.21688606702328284	0.6690896957015569	0.3535565703201248	0.81257419363327	0.005831541102545255	-0.3389314411834285	0.12293013706564611	0.972862399768415
GSG1	0.1308366619892829	0.9908889027852411	0.7611065181854224	0.41209132208109434	0.005840016022799686	-0.46897090215901666	0.17012463785522225	0.972862399768415
NTN3	0.4614999846066328	0.5281402239672606	0.24914595482745283	0.9689560220875223	0.00590416550219977	0.27527817421358863	0.09999000967473397	0.972862399768415
RAP2B	0.7491502770567642	0.9976940299436031	0.280008717174857	0.9010474573873926	0.005983049224161308	0.19953407671254486	0.07259192678966951	0.972862399768415
PON1	0.6155675541033314	0.7263189395108951	0.22846287372318008	0.8236650287721843	0.006040613087105015	0.36832708716827045	0.1341532980289793	0.972862399768415
IGF2	0.45430118828688204	0.8552317366017723	0.13251497890291006	0.5692282093106802	0.006189642003159489	0.42171252285468425	0.1540467383048093	0.972862399768415
FAM9C	0.7532779047809228	0.668327587042943	0.3685706729371949	0.8841073670876035	0.006278564885057993	1.156391574564624	0.4231422553047956	0.972862399768415
STAB2	0.054492076109350855	0.9679421939097047	0.30382862471890637	0.7876519576533194	0.006298070264017593	-0.9339704849247371	0.34188263863432283	0.972862399768415
CLVS1	0.6143965292179823	0.732929008833815	0.06088540309548587	0.7945682943205313	0.006343755736345204	0.4680387969453631	0.17147650946310145	0.972862399768415
FAM43A	0.8330204067632492	0.8315529404205577	0.2340043186204015	0.8619222496161016	0.006416013965057109	0.1765667029315375	0.06477785036819964	0.972862399768415
SBF1	0.19508499010180325	0.5555223232496631	0.24049509415901082	0.681727615629399	0.006553630951365571	0.8513052965629745	0.3131279699008254	0.972862399768415
WDR89	0.17082435191342005	0.9057569497471523	0.13137414314284454	0.9833120382399669	0.006570759173548364	-0.12362789017458582	0.04548738300347918	0.972862399768415
LEMD1-AS1	0.8029694001107869	0.713850681048889	0.3267135756119779	0.9641184504428131	0.0066656308766929375	0.27929129896278637	0.10294163553575282	0.972862399768415
ADAMTS13	0.6280395366420721	0.9623229946273346	0.10438855505611629	0.9340416561408027	0.006748026518756605	0.9203399624663839	0.33973046006071184	0.972862399768415
KBTBD3	0.12634936523144977	0.8354495124918542	0.21876440364939054	0.8166948291228445	0.006944356431695974	-0.2325623291300969	0.08615012042832944	0.972862399768415
NIF3L1	0.11533351920376944	0.46277738448378236	0.1824330216613299	0.995843403218063	0.007011160853422959	-0.2384115219610214	0.08842128560447902	0.972862399768415
MID1	0.14271387768780672	0.8306043801306027	0.22721261996378583	0.66455169078003	0.00703838199424712	-0.4805324880129809	0.1783036835229767	0.972862399768415
RAB25	0.6240440443049611	0.9784270212506496	0.335303883997668	0.7915147764079082	0.007063520170917963	0.23487233928063356	0.0871888485518247	0.972862399768415
RNF167	0.08809238737154965	0.5286862994881539	0.22968477012065613	0.7919581112751284	0.007081922601272827	-0.3129197031460081	0.11619885226846433	0.972862399768415
ADAM12	0.7022532085825001	0.9412731690723161	0.12185553701109687	0.7938981165575089	0.0070928728809315205	0.7438836628901692	0.27628482968728435	0.972862399768415
ZNF804B	0.0880344140316212	0.5747078922219302	0.24944349700015145	0.9389266014055654	0.0071783920535849035	-0.4196639652492687	0.15609867493643229	0.972862399768415
RUNX1	0.023229474608841776	0.755899192878217	0.05602806016269691	0.9328203126994377	0.007273857831855269	-0.6242575816502252	0.2325813955853398	0.972862399768415
FCHO1	0.6476495358680072	0.6534956497065033	0.17077147985298913	0.7942844128834384	0.007297963390651548	0.6222345732045633	0.23192327172078525	0.972862399768415
BATF2	0.31794729594396254	0.7172877344052935	0.21181448628954125	0.7876211737359113	0.0073291731997704515	-0.5454882899099559	0.20342613903889503	0.972862399768415
CAV1	0.15455404944972198	0.33588220562478177	0.19552331329167827	0.7451705669412485	0.007354805588130887	-0.30126918010457004	0.11239973581191072	0.972862399768415
PRSS53	0.6345465372636578	0.5816401550061869	0.1897535170528425	0.9634308802750297	0.007568363172465796	0.40502322447602945	0.1516519062218144	0.972862399768415
GAS1	0.7839131242069057	0.8129580350270736	0.118639894290247	0.81509233132051	0.007588959121357416	0.2330162382759601	0.08727754655833418	0.972862399768415
HIPK4	0.41527884386951097	0.39196073828738576	0.32745846523585465	0.6597126925476015	0.00779034056322922	0.4299998542666441	0.16159187417534723	0.972862399768415
PRR23A	0.21952394880090997	0.891550678287911	0.23009303617416899	0.8057135582619597	0.007862720208856788	-0.21202593150482837	0.07977171506948684	0.972862399768415
SSNA1	0.1167647977955964	0.681205838418832	0.17548356176361724	0.7724846593291446	0.007864808756993184	-0.2089233307643676	0.07860705336851806	0.972862399768415
SERPINA12	0.12770030766734192	0.9399453305755264	0.1840337118144314	0.8608153131674012	0.007983460066071441	-0.6198997596858636	0.23368030644832308	0.972862399768415
DONSON	0.6182767908812283	0.7735417637703597	0.3709319955867706	0.6768005963630348	0.007990032058289397	0.3927395200075642	0.14806442667546607	0.972862399768415
SLC25A21	0.5517145575770375	0.58686466173045	0.34718711716353556	0.6263980088091488	0.00804137107473236	0.6134185547140695	0.23145007092718672	0.972862399768415
SGIP1	0.06906026460476197	0.9229375619522184	0.24487913923817417	0.898087279661964	0.008043523797681675	-0.5366487402454841	0.20249082124340845	0.972862399768415
AZGP1	0.7110669649941368	0.5391077970602791	0.17469022944422996	0.46520113674493635	0.008044550431686328	0.32659520861312485	0.12323444175203965	0.972862399768415
LRRC45	0.6319133168646154	0.6394534021375723	0.21799340955611402	0.9455011372204594	0.008151270860053836	0.640361353974924	0.2420349779324571	0.972862399768415
LOC101059915	0.46090120822546143	0.9552662791221843	0.20108944731757172	0.8977888301019823	0.008152494969376593	-0.8415850441111093	0.318096848707244	0.972862399768415
MUL1	0.06351490830470166	0.8024938561312851	0.14374611122154293	0.5888006277422705	0.008164630685334427	-0.27698248843847134	0.1047119602051956	0.972862399768415
XRN1	0.028336253577012506	0.8800349069011988	0.17670815775102833	0.995783034758913	0.008198625102109194	-0.8872871300579135	0.33561324405518805	0.972862399768415
DHRS9	0.605895542779411	0.30030277876499567	0.16571841952081356	0.9023159192605361	0.008253336387160685	0.6072887616121774	0.22990069356166457	0.972862399768415
CNFN	0.0959846607613295	0.7685323111763872	0.1731085239920247	0.8285971601392043	0.008368671990342877	-0.20873580857411697	0.07916188678552886	0.972862399768415
PSMD10	0.08608918623689685	0.9466497537289641	0.06856029518343489	0.9721630860409255	0.008483349700481995	-0.3344682837006123	0.12706788046611608	0.972862399768415
RCOR2	0.059453600319793395	0.7204200894255512	0.10945088091956658	0.777143335892218	0.008523458863044961	-0.37767059666477526	0.14356829917481387	0.972862399768415
AGPAT4	0.11186174160679863	0.6906124489102334	0.2576708254115375	0.64963473607394	0.008553945565413262	-0.4826383359392173	0.18355559732922855	0.972862399768415
FZD10	0.7165137859981157	0.9927937613071716	0.18698782772608014	0.9632892235330097	0.008642041963077517	0.19154458736139826	0.07294438089311271	0.972862399768415
CRP	0.8542016115561466	0.43084037266170117	0.2776228448591219	0.8605421820122565	0.008663601699754338	0.24710676158529096	0.09413408416501907	0.972862399768415
CHP2	0.1383256025784358	0.705787460939001	0.1715247422805143	0.7464617265486728	0.008700804961089074	-0.1641465269373336	0.06256557918803458	0.972862399768415
RNPS1	0.3519724543572348	0.7901388514855723	0.4732730638844006	0.8274842485558581	0.008739466098297222	0.5242859254511051	0.19995031749070444	0.972862399768415
BCL7A	0.6505319818341792	0.5680025926111374	0.13674189837571055	0.8829632621312559	0.008761761939422082	0.4209668264325105	0.16060003544476606	0.972862399768415
SLC25A34-AS1	0.9165351086746316	0.6318425432127511	0.3775368019694594	0.7101067556153722	0.008774475593927957	0.3232187699873359	0.12333213418887132	0.972862399768415
KCNG4	0.5196559009160107	0.4523464068260816	0.6437748280550657	0.49008926523434937	0.008851335413523247	0.2329709342874713	0.08899685891913578	0.972862399768415
TIMM23B	0.2272793215646196	0.7208170887730163	0.2683799448616033	0.9654489607000734	0.008907825613303997	-0.1304904931037314	0.04988985798450842	0.972862399768415
RAPGEF2	0.04677857124097153	0.6751301073195821	0.22793234570344023	0.8040788153445528	0.008920906217510058	-0.6033374953282892	0.23071558303156392	0.972862399768415
COA8	0.9987013035731155	0.8627629237952807	0.21443301223719002	0.897469528111535	0.008957525026260852	0.25145618407081244	0.09620804819238477	0.972862399768415
SEMA3E	0.5436138455940027	0.7395252267783816	0.23136146869732377	0.7660937936099501	0.008989752944233697	0.4601387582769263	0.17613347212391792	0.972862399768415
THADA	0.03412272926201976	0.8869575200696461	0.12535986998822085	0.9681340559311978	0.009010954887110534	-0.7876802454194228	0.3016038872784231	0.972862399768415
ATP6V0E2-AS1	0.6826200800035356	0.4813190907631968	0.14293017495962274	0.9397150630696368	0.00903883940709695	0.23012397624672873	0.08815046141190562	0.972862399768415
PSMB7	0.1520363455798842	0.6524646406502496	0.1436853626953405	0.8065721247525726	0.009039033993892729	-0.3395290403748203	0.13005913801561805	0.972862399768415
TRIM24	0.04983664194164699	0.46598688535873334	0.13466569494698555	0.7778084582749424	0.009223469329675844	-0.5016394701577214	0.1926671760910336	0.972862399768415
RARS2	0.5321714931591551	0.7748199552080723	0.2432236169213453	0.9330405260608772	0.009226764161035362	0.47858955931125535	0.183822925218107	0.972862399768415
NALCN	0.5682405278341081	0.7544266243410174	0.22951064008039668	0.8408358831610496	0.009230682917999881	0.5976545225110201	0.2295677851466377	0.972862399768415
HIVEP1	0.045228341104659446	0.9277755479450942	0.382369294718933	0.9342641005102824	0.009262503265748442	-0.6181861737157294	0.23756195735535707	0.972862399768415
DSC2	0.09596400310864224	0.8427565084169779	0.23657253410620083	0.9819628080777572	0.009469326896183598	-0.5393912694420304	0.20788768591640006	0.972862399768415
ITPR2	0.04431071309593837	0.7860809036660567	0.34164955949738374	0.9741100132232625	0.009523833477592603	-0.7229010541376367	0.2788265830464893	0.972862399768415
PNRC1	0.6610698402861732	0.7184076261396122	0.31291972519392963	0.9751219737140887	0.009574067653205955	0.23502973018744316	0.09071548252016658	0.972862399768415
TDRD7	0.5909969703912029	0.9763059410019338	0.1872851040518262	0.9237805169898278	0.009612383503487735	0.4639624763307164	0.17917276511099164	0.972862399768415
OR6T1	0.3827028383181199	0.9322355523777942	0.5329916741921623	0.9584064760086937	0.009708683497790955	-0.2317158858779339	0.08960273571979031	0.972862399768415
KIF25	0.6245598262543657	0.7386142591301803	0.09856868438711594	0.9954811583477955	0.00971081441386042	0.4301513493250906	0.16634105585582745	0.972862399768415
PPIL4	0.8471532987497586	0.9387959281805927	0.19369732508255055	0.838028558474156	0.00971713551025029	0.24615988732666524	0.09519916084674916	0.972862399768415
MAGOHB	0.48850421006997324	0.5826043815244243	0.03365596191121732	0.9095829626016709	0.009737116673572094	0.557243349214464	0.21556571460231336	0.972862399768415
IDH3B	0.8124610537523773	0.8565114529195885	0.1019368851751186	0.8271805083522122	0.00984117705982006	0.4170025094541089	0.16154369680387343	0.972862399768415
VXN	0.9531932311644813	0.6439424935545334	0.22768435189978942	0.8805165750213473	0.009872095790527226	0.3523100129026642	0.13653958404672817	0.972862399768415
ATP1B3	0.06572246421591216	0.6947118960237197	0.20591064051823327	0.961807064392818	0.009924985324032989	-0.5278572298350466	0.20472025056255932	0.972862399768415
LY6E	0.9581665766364807	0.408203888582511	0.2731564719179703	0.7959815548240188	0.009973955938208667	0.3280382186299474	0.1273079062811399	0.972862399768415
H2BP2	0.7682106789901052	0.9357850080867727	0.22063380495031892	0.8393347921409371	0.009990225593708605	1.3687711229851658	0.5313207142492473	0.972862399768415
LOC100507283	0.6900065637484195	0.6264628794396736	0.17821207101661873	0.8324667830087901	0.010059612242557152	0.10957833947517834	0.04257497488708805	0.972862399768415
TMEM167B	0.356792976805853	0.6267140983656629	0.324792438737317	0.7395294939166264	0.0100806441390389	-0.23299116586622048	0.09055055406080809	0.972862399768415
NAT1	0.30481831536539705	0.8838116834563734	0.2933461689506748	0.7489886087123259	0.010225363999128465	-0.2365470186179784	0.0921092503688746	0.972862399768415
ZNF136	0.2669769516137972	0.7574400709302251	0.3155361426899669	0.9161271293976607	0.010263792257401639	-0.3608619587861573	0.1405875485235852	0.972862399768415
TTC27	0.40423621679426736	0.7657275188242578	0.27380312312259536	0.7978048203632678	0.010272753321153651	0.39349749239371035	0.15332004361355747	0.972862399768415
DHRS12	0.8846760481257739	0.4231735706799804	0.24188717434742812	0.7411570902335746	0.010355356872793086	0.8673994327522895	0.3383347192024478	0.972862399768415
BCL7B	0.47536828613382043	0.6334503768904134	0.06410417148550913	0.5381254280379704	0.010625809393327912	0.34225159718215337	0.13396573674692128	0.972862399768415
BPTF	0.02703129673541252	0.915831385574492	0.1778768895133055	0.6818082505990596	0.010659941709475027	-0.6827308919603423	0.26735460062790967	0.972862399768415
TMEM187	0.5490174915622883	0.7354786905387531	0.3618790963972486	0.8443374332480503	0.010689749003287945	-0.35056182607901815	0.13733086435691028	0.972862399768415
PGBD2	0.05690944628667753	0.9981711923526817	0.22028167221132267	0.6978595975868447	0.010790756709556397	-0.3252854937767536	0.12759281731194413	0.972862399768415
NEIL3	0.06009432696909865	0.6527580030475344	0.08452855571968351	0.726389459926523	0.010868383897128147	-0.33504575982088486	0.13155029634861243	0.972862399768415
TXK	0.17342728501324378	0.917784543270365	0.2645891175832339	0.8849808313459129	0.011021529283741659	-0.32576475501962576	0.12815215245336128	0.972862399768415
DNASE2B	0.1819939868891629	0.6402072063563953	0.10199056671093448	0.745748136141545	0.01105466091231841	-0.19570011991387948	0.07701799446704756	0.972862399768415
CISD2	0.11794851208928238	0.6505834712820735	0.1470693322100357	0.8664618524138901	0.011054665720300257	-0.2476116459184301	0.09744783766619845	0.972862399768415
REEP4	0.10765007889526532	0.7631580313416959	0.11732147507064968	0.9714501025457226	0.011224552165660472	-0.342404892343547	0.13503744760516748	0.972862399768415
DNAH7	0.022216396111620254	0.28728498819298487	0.2613930055516639	0.801634860815895	0.011229680021258192	-0.7439423896042093	0.29341408958105814	0.972862399768415
CEBPZ	0.15587231849890024	0.6937563448359365	0.2937387057127354	0.7860736462481345	0.011252003641917559	-0.3599362230501375	0.14199936036898572	0.972862399768415
ANAPC7	0.12158181613598902	0.8249479334920564	0.15464204094221387	0.6578449659037584	0.011261995703195788	-0.44077234696446216	0.17391156284682538	0.972862399768415
CD8A	0.20768387757400397	0.7500971430749801	0.2743489914999697	0.9833688325100239	0.011383088610371265	-0.34997953432694634	0.13829284802781702	0.972862399768415
NMT1	0.6166119491924271	0.7092757415966474	0.283358939503064	0.7731728981884549	0.011392770829536403	0.4225741564051466	0.16699796994355479	0.972862399768415
CD28	0.8652712546919215	0.6365714461703791	0.23056321809992686	0.8484898786270875	0.011509482858155798	0.2367638920024882	0.09369970032086976	0.972862399768415
ATXN3	0.9689171911467146	0.8703061745372195	0.11334006819746624	0.8715092061055253	0.01153824233887008	0.4392139798529809	0.17387998108062303	0.972862399768415
GRAMD1A	0.5384408452369651	0.6585112273980391	0.20149558401245804	0.9132710921021658	0.011597103649259552	0.5570679552869133	0.2206933065763383	0.972862399768415
GPR75-ASB3	0.46556931777249144	0.7097241941911847	0.22592096376512572	0.879706067272523	0.011654647136160344	0.42990438477166987	0.17043249523587858	0.972862399768415
DND1	0.115061742627313	0.5171034024413783	0.17596532581689162	0.9052141814792495	0.011705687118258862	-0.2491414936540546	0.09883058278732909	0.972862399768415
DPH6-DT	0.1607003909525483	0.8479469372248117	0.19645898332205014	0.7265866751569086	0.011716311040596679	-0.21722151467712725	0.0861793337417021	0.972862399768415
NUP54	0.07697241960942316	0.796174925645995	0.2142367529228172	0.7268030740380451	0.011733378260152584	-0.2898483357214701	0.11501629871921198	0.972862399768415
MPPED1	0.8961148392134652	0.9899628280795053	0.12511334407061528	0.795333296979398	0.01177804393324818	0.43702654378391875	0.17351098577113916	0.972862399768415
SATB1	0.12464490656397074	0.9495204549172209	0.4243630390933437	0.7806822247631091	0.011792075395837664	-0.457813351584078	0.18179415583784433	0.972862399768415
TMEM40	0.9223900729405295	0.7089361884696206	0.231317832664658	0.9975953399151728	0.011804226949567478	0.3331496844668359	0.13231023264859668	0.972862399768415
BET1	0.1128326585621269	0.8356322153689808	0.1363278495758676	0.9813201665396303	0.011864868630419871	-0.6281131388099643	0.24963381064374543	0.972862399768415
C3orf20	0.07046958891194215	0.6745876738142336	0.1624605313906573	0.6369237145463413	0.01192150013918279	-0.6362933994659695	0.25305374962910676	0.972862399768415
FUT4	0.8643021182317766	0.5284073667291429	0.12120245385526222	0.9736721178646739	0.012053981546613825	0.23560998476755396	0.09384757949500254	0.972862399768415
SPG11	0.3174795895766923	0.6447098220962038	0.16678552373835565	0.9919312508831428	0.012072079117298311	0.5744983796963659	0.2288810505692333	0.972862399768415
SMAD2	0.8877964690953839	0.4961819458440401	0.19902696510470552	0.9199949174436737	0.012152480950769354	0.46590985513440086	0.18579278507753952	0.972862399768415
HDAC4	0.4575974032758111	0.9667978806151473	0.37204804995919305	0.9500081045666531	0.012299436720703825	1.1418559025166923	0.4561157088576682	0.972862399768415
